# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
8732200 -19.131 -14.25
8732300 -18.6777 -14.25
8732400 -18.4447 -14.25
8732500 -18.6766 -14.25
8732600 -18.6997 -14.25
8732700 -18.8324 -14.25
8732800 -18.8158 -14.25
8732900 -18.9422 -14.25
8733000 -18.8353 -14.25
8733100 -18.9587 -14.25
8733200 -18.9267 -14.25
8733300 -18.9001 -14.25
8733400 -19.0044 -14.25
8733500 -19.0303 -14.25
8733600 -18.6918 -14.25
8733700 -18.8147 -14.25
8733800 -19.0345 -14.25
8733900 -18.9225 -14.25
8734000 -18.9266 -14.25
8734100 -18.7697 -14.25
8734200 -18.8918 -14.25
8734300 -19.0091 -14.25
8734400 -18.9698 -14.25
8734500 -18.8602 -14.25
8734600 -18.8796 -14.25
8734700 -18.8263 -14.25
8734800 -18.9187 -14.25
8734900 -18.8272 -14.25
8735000 -18.8506 -14.25
8735100 -18.993 -14.25
8735200 -18.961 -14.25
8735300 -18.9038 -14.25
8735400 -18.723 -14.25
8735500 -18.9129 -14.25
8735600 -18.8251 -14.25
8735700 -18.945 -14.25
8735800 -19.1031 -14.25
8735900 -19.0588 -14.25
8736000 -19.0122 -14.25
8736100 -18.6999 -14.25
8736200 -18.7346 -14.25
8736300 -18.9029 -14.25
8736400 -19.0308 -14.25
8736500 -18.8889 -14.25
8736600 -18.9314 -14.25
8736700 -18.8143 -14.25
8736800 -18.7717 -14.25
8736900 -18.8177 -14.25
8737000 -19.1115 -14.25
8737100 -19.1552 -14.25
8737200 -18.851 -14.25
8737300 -18.8666 -14.25
8737400 -18.7302 -14.25
8737500 -18.7004 -14.25
8737600 -19.0597 -14.25
8737700 -18.9194 -14.25
8737800 -18.5385 -14.25
8737900 -18.5812 -14.25
8738000 -18.9926 -14.25
8738100 -19.2626 -14.25
8738200 -18.9969 -14.25
8738300 -18.665 -14.25
8738400 -18.6928 -14.25
8738500 -18.9686 -14.25
8738600 -19.205 -14.25
8738700 -18.9496 -14.25
8738800 -18.7254 -14.25
8738900 -18.6736 -14.25
8739000 -18.9779 -14.25
8739100 -19.0178 -14.25
8739200 -18.9469 -14.25
8739300 -18.6116 -14.25
8739400 -18.5233 -14.25
8739500 -18.9293 -14.25
8739600 -19.112 -14.25
8739700 -19.072 -14.25
8739800 -18.7311 -14.25
8739900 -18.6385 -14.25
8740000 -18.8274 -14.25
8740100 -19.0117 -14.25
8740200 -19.0617 -14.25
8740300 -19.0333 -14.25
8740400 -18.7475 -14.25
8740500 -18.307 -14.25
8740600 -18.5806 -14.25
8740700 -19.0859 -14.25
8740800 -19.1322 -14.25
8740900 -18.6079 -14.25
8741000 -18.2752 -14.25
8741100 -18.2684 -14.25
8741200 -18.4748 -14.25
8741300 -18.3936 -14.25
8741400 -18.8997 -14.25
8741500 -19.1831 -14.25
8741600 -18.9761 -14.25
8741700 -18.5745 -14.25
8741800 -18.2823 -14.25
8741900 -18.4552 -14.25
8742000 -18.8807 -14.25
8742100 -18.9999 -14.25
8742200 -18.6097 -14.25
8742300 -18.25 -14.25
8742400 -18.1029 -14.25
8742500 -17.9341 -14.25
8742600 -17.8491 -14.25
8742700 -17.8796 -14.25
8742800 -17.9503 -14.25
8742900 -18.1415 -14.25
8743000 -18.2677 -14.25
8743100 -18.4761 -14.25
8743200 -18.4907 -14.25
8743300 -18.0961 -14.25
8743400 -18.0599 -14.25
8743500 -18.2177 -14.25
8743600 -18.2478 -14.25
8743700 -18.0189 -14.25
8743800 -17.563 -14.25
8743900 -16.734 -14.25
8744000 -15.955 -14.25
8744100 -15.5352 -14.25
8744200 -15.3488 -14.25
8744300 -15.2278 -14.25
8744400 -15.0714 -14.25
8744500 -14.8547 -14.25
8744600 -14.5739 -14.25
8744700 -14.2872 -14.25
