#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        815          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        820          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        825          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        830          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        835          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        840          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        845          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        850          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        855          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        860          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        865          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        870          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        875          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        880          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        885          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        890          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        895          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        900          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        905          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        910          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        915          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        920          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        925          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        930          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        935          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        940          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        945          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        950          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        955          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        960          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        965          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        970          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        975          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        980          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        985          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        990          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        995          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
       1000          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
       1005          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
       1010          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
       1015          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
       1020          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
       1025          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
       1030          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
       1035          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1040          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1045          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1050          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1055          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1060          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1065          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1070          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1075          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1080          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1085          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1090          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1095          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1100          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1105          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1110          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1115          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1120          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1125          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O3H7         OH2          OH
       1130          18           3           1          16           1
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1135          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1140          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1145          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1150          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1155          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1160          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1165          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1170          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1175          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1180          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1185          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1190          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1195          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1200          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1205          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1210          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1215          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1220          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1225          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1230          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1235          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1240          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1245          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1250          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1255          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1260          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1265          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1270          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1275          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1280          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1285          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1290          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1295          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O4H8         OH2
       1300          17           2           1          16
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1305          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1310          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1315          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1320          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1325          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1330          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1335          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1340          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1345          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1350          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1355          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1360          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1365          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1370          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1375          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1380          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1385          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1390          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1395          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1400          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1405          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1410          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1415          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1420          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1425          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1430          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1435          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1440          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1445          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
