# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
21700 -4921.77
21800 -4805.55
21900 -4765.2
22000 -4709.94
22100 -4766.94
22200 -5033.51
22300 -5009.58
22400 -4855.95
22500 -4925.89
22600 -4662.48
22700 -4935.84
22800 -4986.91
22900 -4757.84
23000 -4894.48
23100 -4665.66
23200 -4657.44
23300 -4712.45
23400 -5023.39
23500 -4950.81
23600 -4850.93
23700 -4876.02
23800 -4741.76
23900 -4756.86
24000 -5063.36
24100 -5018.96
24200 -4862.25
24300 -4731.76
24400 -4884.34
24500 -4819.45
24600 -4968.71
24700 -4935.87
24800 -4911.2
24900 -4920.32
25000 -4965.99
25100 -4796.82
25200 -4744.79
25300 -4780.14
25400 -4755.5
25500 -4841.58
25600 -4984.32
25700 -5009.64
25800 -4742.91
25900 -4485.43
26000 -4809.99
26100 -5139.39
26200 -4852.82
26300 -4708.98
26400 -4851.23
26500 -4742.45
26600 -4916.15
26700 -5045.56
26800 -5096.84
26900 -4994.15
27000 -4798.72
27100 -4679.75
27200 -5011.53
27300 -4917.31
27400 -4840.49
27500 -4906.32
27600 -5019.67
27700 -4797.9
27800 -4823.65
27900 -4780.09
28000 -4596.93
28100 -4799.22
28200 -4951.6
28300 -4797.13
28400 -4906.2
28500 -4910.64
28600 -4694.39
28700 -4749.39
28800 -4711.73
28900 -4943.81
29000 -4872.88
29100 -4837.93
29200 -4833.76
29300 -4879.22
29400 -4910.1
29500 -4785.39
29600 -4749.03
29700 -4691.33
29800 -4759.83
29900 -4962.76
30000 -4952.68
30100 -4805.11
30200 -4842.09
30300 -4780
30400 -4710.41
30500 -4890.71
30600 -4860.75
30700 -4640.75
30800 -4760.99
30900 -4810.99
31000 -4940.88
31100 -5016.49
31200 -4977.38
31300 -4740.35
31400 -4829.5
31500 -4942.56
31600 -5155.06
31700 -4973.64
31800 -4819.16
31900 -4931.57
32000 -4820.18
32100 -4976.27
32200 -5081.29
32300 -4768.16
32400 -4671.12
32500 -4823.71
32600 -4791.93
32700 -4862.4
32800 -4921.38
32900 -5006.68
33000 -4900.3
33100 -4882.82
33200 -4766.26
33300 -4975.8
33400 -5089.98
33500 -5098.08
33600 -4766.72
33700 -4725.66
33800 -4849.96
33900 -4852.37
34000 -4530.04
34100 -4691.11
34200 -4970.6
34300 -5060.66
34400 -5043.58
34500 -4886.61
34600 -4997.25
34700 -4964.65
34800 -4849.51
34900 -4898.42
35000 -5081.91
35100 -4947.75
35200 -4795.59
35300 -4766.87
35400 -4841.85
35500 -5072.6
35600 -4953.65
35700 -4857.86
35800 -4932.29
35900 -4901.74
36000 -4647.7
36100 -4913.1
36200 -4876.65
36300 -4639.25
36400 -4710.43
36500 -4843.14
36600 -5020.41
36700 -4870.08
36800 -4744.55
36900 -4919.11
37000 -4908.15
37100 -5077
37200 -5116.52
37300 -5058.84
37400 -4842.41
37500 -4716.74
37600 -4768.5
37700 -4919.66
37800 -5026.64
37900 -4839.86
38000 -4939.54
38100 -5055.92
38200 -4988.11
38300 -4798.25
38400 -4911
38500 -5114.29
38600 -5068.59
38700 -4859.09
38800 -4760.71
38900 -4558.78
39000 -4685.5
39100 -4858.84
39200 -4903.52
39300 -4950.1
39400 -4958.56
39500 -4985.63
39600 -5044.37
39700 -4972.28
39800 -4827.72
39900 -4640.13
40000 -4847.98
40100 -5007.61
40200 -4881.02
40300 -4863.96
40400 -4660.03
40500 -4885.59
40600 -5143.05
40700 -4976.01
40800 -4812.05
40900 -4769
41000 -4864.15
41100 -4963.79
41200 -4707.51
41300 -5078.02
41400 -4839.96
41500 -4828.45
41600 -4630.56
41700 -4731.75
41800 -4785.22
41900 -4851.05
42000 -5096.02
42100 -4913.99
42200 -4688.55
42300 -4953.81
42400 -5036.2
42500 -4927.46
42600 -4746.23
42700 -4656.82
42800 -4871.73
42900 -4940.4
43000 -4894.74
43100 -4812.91
43200 -5023.52
43300 -4785.93
43400 -4690.55
43500 -4865.39
43600 -4952.31
43700 -5061.88
43800 -5073.35
43900 -4970.62
44000 -4946.03
44100 -4773.7
44200 -4696.03
44300 -4857.58
44400 -4783.96
44500 -4902.64
44600 -4848.49
44700 -4915.12
44800 -4867.84
44900 -4895.61
45000 -4752.11
45100 -4758.98
45200 -4744.26
45300 -4832.18
45400 -4898.9
45500 -4922.01
45600 -4708.69
45700 -4921.26
45800 -4900.38
45900 -4893.51
46000 -4819.55
46100 -4813.97
46200 -4875.36
46300 -4993.88
46400 -4742.36
46500 -4721.08
46600 -4895.88
46700 -4944.75
46800 -4847.99
46900 -4834.96
47000 -4845.4
47100 -4963.48
47200 -4872.09
47300 -4699.93
47400 -4936.88
47500 -5146.74
47600 -4993.66
47700 -4755.17
47800 -4867.99
47900 -4812.22
48000 -5043.71
48100 -5101.07
48200 -5056.6
48300 -4887.98
48400 -4894.72
48500 -4903.54
48600 -4844.13
48700 -4864.25
48800 -4734.07
48900 -4592.79
49000 -4667.33
49100 -4880.17
49200 -4968.63
49300 -4991.81
49400 -4711.56
49500 -4636.26
49600 -4696.62
49700 -4974.28
49800 -5156.29
49900 -4876.3
50000 -4709.52
