#  Timestep    No_Moles    No_Specs   Si192O384          O2
        610          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        615          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        620          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        625          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        630          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        635          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        640          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        645          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        650          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        655          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        660          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        665          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        670          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        675          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        680          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        685          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        690          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        695          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        700          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        705          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        710          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        715          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        720          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        725          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        730          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        735          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        740          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        745          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        750          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        755          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        760          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        765          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        770          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        775          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        780          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        785          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        790          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        795          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        800          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        805          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        810          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        815          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        820          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        825          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        830          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        835          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        840          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        845          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        850          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        855          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        860          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        865          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        870          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        875          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        880          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        885          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        890          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        895          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        900          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        905          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        910          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        915          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        920          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        925          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        930          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        935          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        940          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        945          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        950          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        955          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        960          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        965          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        970          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        975          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        980          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        985          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        990          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        995          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1000          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1005          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1010          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1015          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1020          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1025          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1030          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1035          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1040          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1045          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1050          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1055          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1060          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1065          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1070          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1075          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1080          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1085          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1090          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1095          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1100          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1105          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1110          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1115          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1120          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1125          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1130          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1135          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1140          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
       1145          11           2           1          10
