# Time-averaged data for fix myat2
# TimeStep v_delta_r
52500 50.4031
52600 50.2559
52700 49.7504
52800 49.6735
52900 49.7563
53000 49.9255
53100 49.6738
53200 49.7442
53300 50.0871
53400 50.275
53500 50.4976
53600 50.633
53700 50.2977
53800 50.1665
53900 49.7794
54000 49.4816
54100 49.6769
54200 49.7203
54300 49.595
54400 49.5716
54500 49.7618
54600 49.986
54700 50.0189
54800 50.2588
54900 50.6824
55000 51.0176
55100 50.9417
55200 50.7257
55300 50.165
55400 49.8361
55500 49.6551
55600 49.8047
55700 50.2192
55800 50.556
55900 50.6715
56000 50.686
56100 50.4931
56200 50.3274
56300 50.3325
56400 50.5875
56500 50.6872
56600 50.7434
56700 50.7322
56800 50.4606
56900 50.4445
57000 50.3797
57100 50.1227
57200 50.3361
57300 50.3012
57400 50.423
57500 50.4062
57600 50.202
57700 50.0003
57800 49.7207
57900 49.5983
58000 49.6076
58100 49.5629
58200 49.8429
58300 49.9371
58400 50.2312
58500 50.5839
58600 50.48
58700 50.5283
58800 50.466
58900 50.5437
59000 50.4825
59100 50.512
59200 50.3118
59300 50.1813
59400 49.8206
59500 49.5985
59600 49.5254
59700 49.9462
59800 50.137
59900 50.3664
60000 50.3016
