# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF_PEG_H2O[1] c_myRDF_PEG_H2O[2] c_myRDF_PEG_H2O[3] c_myRDF_PEG_H2O[4] c_myRDF_PEG_H2O[5] c_myRDF_PEG_H2O[6] c_myRDF_PEG_H2O[7]
200000 200
171 8.525 0.975915 52.2966 0.957307 52.3639 0.966048 54.2299
172 8.575 0.971414 53.3351 0.955551 53.3854 0.959843 55.256
173 8.625 0.963963 54.3776 0.956054 54.4194 0.953601 56.2873
174 8.675 0.958853 55.4267 0.958654 55.4682 0.953335 57.3303
175 8.725 0.960262 56.4894 0.960716 56.5315 0.947703 58.3792
176 8.775 0.955704 57.5593 0.96035 57.6066 0.956206 59.4496
177 8.825 0.955564 58.6412 0.9605 58.6941 0.951717 60.5272
178 8.875 0.959395 59.7398 0.95852 59.7917 0.954341 61.62
179 8.925 0.960241 60.8518 0.962644 60.9065 0.949312 62.7193
180 8.975 0.954541 61.9697 0.96058 62.0314 0.96323 63.8473
181 9.025 0.957437 63.1034 0.95957 63.1676 0.955225 64.9785
182 9.075 0.959146 64.2518 0.961514 64.3189 0.948508 66.1141
183 9.125 0.955577 65.4086 0.962943 65.4845 0.943656 67.2565
184 9.175 0.95161 66.5732 0.961598 66.6614 0.941263 68.4084
185 9.225 0.949441 67.7478 0.965298 67.8556 0.968854 69.6071
186 9.275 0.954084 68.9411 0.961102 69.0577 0.963714 70.8123
187 9.325 0.954005 70.1471 0.962849 70.2749 0.96545 72.0328
188 9.375 0.954827 71.3671 0.961195 71.5031 0.956158 73.2546
189 9.425 0.957098 72.6032 0.962139 72.7456 0.954538 74.4873
190 9.475 0.958023 73.8536 0.962349 74.0016 0.954336 75.7329
191 9.525 0.957866 75.117 0.964131 75.2733 0.963467 77.0037
192 9.575 0.958904 76.3951 0.965342 76.56 0.954763 78.2763
193 9.625 0.957645 77.6848 0.969182 77.8653 0.95157 79.5579
194 9.675 0.95822 78.9888 0.970498 79.186 0.959819 80.8641
195 9.725 0.964102 80.3144 0.971862 80.5223 0.955284 82.1775
196 9.775 0.96378 81.6533 0.96813 81.8671 0.959772 83.5108
197 9.825 0.962542 83.0041 0.966949 83.2241 0.965597 84.8659
198 9.875 0.961875 84.3677 0.968435 84.5971 0.962333 86.2302
199 9.925 0.968011 85.754 0.969368 85.9853 0.958859 87.6034
200 9.975 0.967076 87.1529 0.970094 87.3886 0.955786 88.986
