# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
241000 0.000215685
242000 -0.000173271
243000 -2.52532e-05
244000 0.000233949
245000 0.000121184
246000 7.18672e-05
247000 -0.000143884
248000 -4.02026e-07
249000 3.2537e-05
250000 0.000317187
251000 6.5549e-05
252000 -5.32378e-05
253000 7.92182e-05
254000 0.000118593
255000 0.000183558
256000 0.000221221
257000 0.000292822
258000 0.000289794
259000 0.000189693
260000 0.000219866
261000 0.000248817
262000 0.000119369
263000 0.000309379
264000 0.000469956
265000 0.000192448
266000 0.000162874
267000 0.000130052
268000 9.3883e-05
269000 6.27714e-05
270000 3.18433e-05
271000 0.000278903
272000 0.000249396
273000 0.000197323
274000 0.000242819
275000 4.9698e-05
276000 -7.45455e-05
277000 7.63833e-05
278000 8.51238e-05
279000 2.61848e-06
280000 0.000432965
281000 0.000248978
282000 0.00019423
283000 0.000216498
284000 0.000298616
285000 9.29138e-05
286000 4.6321e-05
287000 -4.63722e-05
288000 0.000149276
289000 0.000426602
290000 0.000332285
291000 -6.46356e-05
292000 -5.86686e-05
293000 0.000249866
294000 0.000330624
295000 0.000193288
296000 3.813e-05
297000 -1.54769e-05
298000 0.000170713
299000 0.000167478
300000 0.000240568
301000 0.000193562
302000 -2.53775e-05
303000 6.62628e-05
304000 0.00029786
305000 2.70152e-05
306000 0.000108182
307000 0.000323022
308000 0.00048239
309000 0.000484981
310000 9.29406e-05
311000 0.000164825
312000 0.000275201
313000 0.000270211
314000 0.000102102
315000 1.13902e-06
316000 6.60031e-05
317000 0.000367276
318000 0.000179125
319000 -0.00010325
320000 -5.39471e-05
321000 0.000307872
322000 0.000475691
323000 0.000345559
324000 0.00032709
325000 0.000235881
326000 0.000281485
327000 0.00018987
328000 7.66719e-05
329000 -7.85373e-06
330000 0.000107429
331000 3.64274e-05
332000 0.000154452
333000 0.000368784
334000 0.000254289
335000 0.000148236
336000 -0.000193339
337000 -1.41748e-05
338000 0.000164025
339000 -5.77415e-05
340000 3.45066e-05
341000 0.000259177
342000 0.000244244
343000 0.000164334
344000 0.000123485
345000 -2.12459e-05
346000 -1.54318e-05
347000 7.91837e-05
348000 0.000305455
349000 2.43659e-05
350000 4.79685e-05
351000 0.000333755
352000 0.000272798
353000 -5.35413e-05
354000 5.25742e-05
355000 0.000269948
356000 0.000408833
357000 0.00029872
358000 0.000350772
359000 0.000383378
360000 0.000608667
361000 0.000608478
362000 0.000415967
363000 0.000253831
364000 0.000147656
365000 0.00028893
366000 0.000456233
367000 0.000211323
368000 -7.15799e-05
369000 7.10819e-06
370000 0.000295429
371000 0.000395931
372000 -0.000101627
373000 -5.36677e-05
374000 0.000175631
375000 8.95159e-05
376000 0.000113393
377000 -8.12953e-05
378000 -1.59455e-05
379000 -0.000172594
380000 5.27699e-05
381000 0.000374556
382000 0.000167931
383000 -6.40541e-05
384000 0.000207456
385000 0.000204367
386000 0.000128427
387000 2.10546e-05
388000 0.000288266
389000 0.000160415
390000 4.22778e-05
391000 0.000224805
392000 2.47436e-06
393000 -0.000125314
394000 -1.49715e-05
395000 0.000317856
396000 0.000497155
397000 0.000514934
398000 0.000659933
399000 0.000679859
400000 0.000714804
401000 0.000548813
402000 0.000138284
403000 -0.000122289
404000 0.000395786
405000 0.000354076
406000 6.20985e-06
407000 -6.51879e-05
408000 8.78516e-05
409000 -7.20472e-05
410000 1.16875e-05
411000 -7.88247e-06
412000 0.000200034
413000 0.000356186
414000 9.59097e-05
415000 5.76539e-05
416000 9.15104e-05
417000 0.000172353
418000 3.78911e-05
419000 0.000183257
420000 0.000234582
421000 1.70054e-05
422000 -2.67215e-05
423000 6.24155e-05
424000 0.000428816
425000 0.000348625
426000 1.41645e-07
427000 -7.60949e-05
428000 0.000458118
429000 0.000253192
430000 -3.4022e-05
431000 2.44897e-05
432000 0.000214307
433000 0.000136678
434000 -2.3474e-05
435000 7.11879e-05
436000 0.000201518
437000 0.000156992
438000 0.000285908
439000 0.000262231
440000 0.000271054
441000 0.000277805
442000 0.000561012
443000 0.000186437
444000 -8.51167e-05
445000 -0.000106062
446000 0.000261733
447000 0.000284735
448000 0.000241698
449000 0.000266375
450000 0.000448745
451000 0.000560824
452000 0.000444021
453000 0.000250829
454000 9.95306e-05
455000 4.6812e-05
456000 0.000244531
457000 0.000135079
458000 3.1873e-06
459000 5.91868e-05
460000 9.7565e-05
461000 2.45925e-05
462000 0.000188301
463000 3.68587e-05
464000 3.65441e-05
465000 0.000271567
466000 0.000412142
467000 0.0002472
468000 0.000401657
469000 0.000572581
470000 0.000291645
471000 -1.71023e-05
472000 0.000259139
473000 0.000412568
474000 0.000259861
475000 0.000161258
476000 0.000170028
477000 6.28442e-05
478000 5.29581e-05
479000 0.000123294
480000 0.000239363
481000 -2.16021e-05
482000 -0.000188267
483000 4.35107e-05
484000 0.000148682
485000 0.000205365
486000 -6.90325e-05
487000 -4.43392e-05
488000 0.000238298
489000 -6.07877e-06
490000 -0.000302493
491000 0.000184063
492000 0.000155179
493000 0.000110857
494000 9.63381e-05
495000 0.000156908
496000 0.000109255
497000 0.000162571
498000 0.000372073
499000 0.000435792
500000 -2.03368e-06
501000 -0.000230858
502000 0.000164097
503000 0.000384675
504000 -4.92243e-06
505000 4.46135e-06
506000 5.24683e-05
507000 6.70284e-07
508000 -3.78158e-05
509000 0.000222431
510000 0.000186396
511000 6.50982e-05
512000 0.000247492
513000 0.000465212
514000 0.000315409
515000 -0.00010512
516000 0.000102659
517000 0.000271323
518000 7.96766e-05
519000 -0.000155993
520000 1.86835e-06
521000 1.52293e-05
522000 0.000217586
523000 0.00024962
524000 0.00028002
525000 0.000212553
526000 0.000118313
527000 0.000222212
528000 0.000323661
529000 0.000294457
530000 3.1819e-05
531000 9.26268e-05
532000 0.000205984
533000 0.000443576
534000 0.000245484
535000 -0.000115736
536000 -0.000108084
537000 -3.49103e-05
538000 0.000415933
539000 0.000275353
540000 0.000157412
541000 1.23769e-06
542000 0.000123141
543000 0.000242768
544000 0.00018317
545000 0.000120301
546000 0.000236203
547000 0.000342567
548000 0.000297489
549000 0.000361154
550000 0.000199085
551000 0.000203618
552000 7.79539e-05
553000 0.000292134
554000 0.000492632
555000 0.000425836
556000 0.000277552
557000 0.000323383
558000 0.000528105
559000 0.000178088
560000 -3.48653e-06
561000 0.00024008
562000 0.000101667
563000 -0.000109668
564000 0.000137751
565000 0.000260732
566000 -6.86051e-05
567000 4.94661e-05
568000 0.000330192
569000 0.000211021
570000 -6.92482e-05
571000 0.000105364
572000 0.000138936
573000 6.53345e-05
574000 0.000281535
