# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
60500 3.02744
60600 3.03069
60700 3.00588
60800 3.004
60900 2.98975
61000 3.00956
61100 2.99894
61200 2.99381
61300 2.99006
61400 3.00944
61500 2.996
61600 3.00125
61700 3.01394
61800 2.98494
61900 2.98275
62000 2.96813
62100 2.97981
62200 2.99531
62300 2.9865
62400 2.96956
62500 2.97463
62600 2.97788
62700 2.98612
62800 2.98869
62900 2.97681
63000 2.9855
63100 2.98644
63200 2.98937
63300 2.9825
63400 2.98794
63500 2.968
63600 2.94444
63700 2.96944
63800 2.96206
63900 2.98606
64000 2.97356
64100 2.969
64200 2.98319
64300 2.98056
64400 2.94856
64500 2.95556
64600 2.97244
64700 2.94819
64800 2.94387
64900 2.94819
65000 2.95656
65100 2.95075
65200 2.94544
65300 2.96356
65400 2.92856
65500 2.92856
65600 2.96113
65700 2.94881
65800 2.94569
65900 2.93863
66000 2.9375
66100 2.96169
66200 2.95887
66300 2.91981
66400 2.96169
66500 2.95763
66600 2.95681
66700 2.96475
66800 2.939
66900 2.95694
67000 2.95113
67100 2.95194
67200 2.95406
67300 2.964
67400 2.95131
67500 2.94588
67600 2.93919
67700 2.9615
67800 2.93975
67900 2.96856
68000 2.936
68100 2.93425
68200 2.93594
68300 2.94425
68400 2.93675
68500 2.95044
68600 2.93831
68700 2.95106
68800 2.93194
68900 2.95569
69000 2.92437
69100 2.92687
69200 2.92275
69300 2.94094
69400 2.92644
69500 2.944
69600 2.93094
69700 2.93613
69800 2.92694
69900 2.93213
70000 2.92644
70100 2.94094
70200 2.93181
70300 2.93606
70400 2.91469
70500 2.91956
70600 2.89913
70700 2.92231
70800 2.91875
70900 2.915
71000 2.89475
71100 2.93538
71200 2.91219
71300 2.92988
71400 2.91425
71500 2.91312
71600 2.91369
71700 2.90638
71800 2.90106
71900 2.91075
72000 2.89756
72100 2.90344
72200 2.89763
72300 2.87544
72400 2.88169
72500 2.90494
72600 2.90425
72700 2.92019
72800 2.906
72900 2.8885
73000 2.90013
73100 2.89725
73200 2.91231
73300 2.87281
73400 2.89625
73500 2.88713
73600 2.90362
73700 2.89931
73800 2.89725
73900 2.87475
74000 2.89787
74100 2.88488
74200 2.88356
74300 2.883
74400 2.8865
74500 2.89575
74600 2.88131
74700 2.90581
74800 2.88206
74900 2.89656
75000 2.87938
75100 2.88544
75200 2.86719
75300 2.89113
75400 2.88238
75500 2.89969
75600 2.86738
75700 2.87175
75800 2.88031
75900 2.88569
76000 2.88587
76100 2.87538
76200 2.87319
76300 2.88338
76400 2.8825
76500 2.86963
76600 2.87875
76700 2.86544
76800 2.87213
76900 2.86831
77000 2.87644
77100 2.84863
77200 2.86937
77300 2.87812
77400 2.86638
77500 2.87119
77600 2.85475
77700 2.87969
77800 2.86606
77900 2.87356
78000 2.86937
78100 2.85325
78200 2.88756
78300 2.869
78400 2.87181
78500 2.87237
78600 2.84856
78700 2.849
78800 2.85856
78900 2.85081
79000 2.86362
79100 2.83937
79200 2.8535
79300 2.83044
79400 2.84694
79500 2.84794
79600 2.852
79700 2.84388
79800 2.85094
79900 2.82519
80000 2.81988
80100 2.84138
80200 2.85369
80300 2.85744
80400 2.87363
