# Time-averaged data for fix myat2
# TimeStep v_delta_x
130600 19.5161
130700 19.5615
130800 19.8533
130900 20.1911
131000 20.222
131100 19.9896
131200 20.1575
131300 20.1281
131400 20.1752
131500 19.8235
131600 19.8836
131700 20.0116
131800 20.2215
131900 20.0991
132000 20.346
132100 20.7799
132200 20.8791
132300 20.9647
132400 21.1973
132500 21.3955
132600 21.7099
132700 21.8073
132800 22.1484
132900 22.3665
133000 22.3667
133100 22.148
133200 22.0793
133300 21.575
133400 20.6951
133500 20.5584
133600 20.4111
133700 20.1444
133800 20.1084
133900 20.3326
134000 20.6957
134100 20.7493
134200 20.8436
134300 21.0241
134400 21.0007
134500 21.0745
134600 21.2311
134700 21.4876
134800 21.9825
134900 22.1325
135000 21.9273
135100 21.6687
135200 21.7024
135300 21.5314
135400 20.9807
135500 20.5741
135600 20.8654
135700 21.2116
135800 21.1377
135900 20.8717
136000 20.6119
136100 20.4678
136200 20.3953
136300 20.0148
136400 19.4164
136500 19.0652
136600 19.1118
136700 19.1461
136800 19.3673
136900 19.854
137000 19.9483
137100 19.9458
137200 20.1465
137300 20.5217
137400 20.8196
137500 20.7112
137600 20.5349
137700 20.3409
137800 19.8873
137900 19.7245
138000 19.8461
138100 19.9859
138200 19.9701
138300 19.7061
138400 19.3615
138500 19.3379
138600 19.6537
138700 19.69
138800 19.9109
138900 20.5659
139000 21.302
139100 21.2719
139200 21.2726
139300 21.364
139400 21.2499
139500 21.4552
139600 21.7786
139700 22.1511
139800 21.9403
139900 21.7485
140000 21.6425
140100 21.6784
140200 22.0452
140300 22.1084
140400 21.8605
140500 22.1386
140600 22.0278
140700 21.8644
140800 22.0532
140900 22.2104
141000 22.3442
141100 22.1842
141200 21.8679
141300 21.8738
141400 22.3779
141500 22.6216
141600 22.688
141700 22.3831
141800 22.2935
141900 22.5526
142000 22.1316
142100 21.6758
142200 21.6057
142300 21.9342
142400 22.4927
142500 22.7581
142600 22.9052
142700 22.9367
142800 22.909
142900 22.9531
143000 23.0563
143100 23.0103
143200 22.9205
143300 23.2675
