#  Timestep    No_Moles    No_Specs   Si192O384           H
#  Timestep    No_Moles    No_Specs   Si192O384           H
        345           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        350           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        355           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        360           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        365           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        370           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        375           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        380           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        385           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        390           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        395           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        400           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        405           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        410           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        415           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        420           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        425           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        430           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        435           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        440           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        445           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        450           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        455           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        460           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        465           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        470           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        475           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        480           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        485           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        490           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        495           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        500           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        505           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        510           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        515           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        520           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        525           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        530           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        535           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        540           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        545           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        550           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        555           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        560           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        565           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        570           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        575           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        580           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        585           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        590           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        595           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        600           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        605           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        610           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        615           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        620           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        625           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        630           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        635           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        640           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        645           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        650           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        655           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        660           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        665           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        670           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        675           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        680           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        685           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        690           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        695           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        700           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        705           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        710           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        715           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        720           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        725           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        730           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        735           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        740           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        745           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        750           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        755           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        760           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        765           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        770           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        775           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        780           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        785           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        790           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        795           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        800           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        805           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        810           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        815           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        820           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        825           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        830           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        835           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        840           1           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        845           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        850           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        855           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        860           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        865           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        870           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        875           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        880           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        885           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        890           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        895           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        900           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        905           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        910           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        915           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        920           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        925           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        930           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        935           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        940           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        945           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        950           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        955           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        960           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        965           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        970           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        975           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        980           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        985           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        990           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
        995           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1000           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1005           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1010           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1015           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1020           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1025           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1030           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1035           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1040           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1045           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1050           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1055           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1060           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1065           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1070           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1075           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1080           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1085           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1090           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1095           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1100           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1105           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1110           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1115           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1120           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1125           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1130           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1135           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1140           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1145           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1150           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1155           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1160           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1165           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1170           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1175           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1180           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1185           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1190           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1195           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1200           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1205           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1210           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1215           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1220           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1225           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1230           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1235           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1240           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1245           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1250           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1255           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1260           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1265           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1270           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1275           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1280           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1285           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1290           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1295           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1300           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1305           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1310           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1315           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1320           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1325           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1330           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1335           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1340           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1345           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1350           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1355           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1360           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1365           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1370           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1375           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1380           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1385           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1390           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1395           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1400           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1405           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1410           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1415           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1420           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1425           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1430           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1435           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1440           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1445           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1450           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1455           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1460           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1465           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1470           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1475           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1480           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1485           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1490           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1495           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1500           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1505           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1510           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1515           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1520           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1525           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1530           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1535           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1540           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1545           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1550           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1555           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1560           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1565           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1570           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1575           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1580           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1585           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1590           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1595           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1600           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1605           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1610           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1615           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1620           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1625           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1630           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1635           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1640           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1645           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1650           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1655           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1660           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1665           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1670           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1675           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1680           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1685           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1690           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1695           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1700           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1705           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1710           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1715           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1720           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1725           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1730           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1735           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1740           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1745           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1750           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1755           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1760           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1765           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1770           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1775           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1780           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1785           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1790           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1795           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1800           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1805           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1810           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1815           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1820           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1825           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1830           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1835           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1840           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1845           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1850           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1855           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1860           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1865           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1870           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1875           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1880           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1885           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1890           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1895           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H2
       1900           1           1           1
